Age,Plant,Image,Object,Area ,Species,Sample
30,1,1,1,1.607,5,1
30,1,2,1,0.723,2,2
30,1,2,4,0.606,2,2
30,1,2,2,0.862,3,2
30,1,2,3,0.84,3,2
30,1,3,2,0.392,1,3
30,1,3,1,0.995,3,3
30,1,4,1,0.899,3,4
30,1,5,1,2.33,7,5
30,2,1,2,1.658,5,6
30,2,1,1,2.954,9,6
30,2,1,3,2.984,9,6
30,2,1,4,3.557,11,6
30,2,2,4,2.11,6,7
30,2,2,10,1.899,6,7
30,2,2,9,2.2,7,7
30,2,2,8,3.074,9,7
30,2,2,2,4.159,12,7
30,2,2,3,4.34,13,7
30,2,2,5,4.702,14,7
30,2,2,7,4.672,14,7
30,2,2,1,5.908,18,7
30,2,2,6,8.5,25,7
30,2,3,2,0.292,1,8
30,2,3,1,0.521,2,8
30,2,4,2,3.587,11,9
30,2,4,1,6.812,20,9
30,2,5,2,1.447,4,10
30,2,5,1,2.291,7,10
30,4,1,1,0.934,3,16
30,4,1,2,1.025,3,16
30,4,1,3,0.904,3,16
30,4,1,6,0.965,3,16
30,4,1,8,1.477,5,16
30,4,1,4,1.959,6,16
30,4,1,7,1.959,6,16
30,4,1,5,2.411,7,16
30,4,2,2,1.808,6,17
30,4,2,1,2.894,9,17
30,4,3,1,1.145,4,18
30,4,3,2,3.376,10,18
30,5,1,1,2.381,7,21
30,5,4,2,1.052,3,24
30,5,4,10,1.088,3,24
30,5,4,1,1.278,4,24
30,5,4,4,1.344,4,24
30,5,4,5,1.571,5,24
30,5,4,12,1.461,5,24
30,5,4,3,1.994,6,24
30,5,4,7,1.936,6,24
30,5,4,11,1.936,6,24
30,5,4,6,2.338,7,24
30,5,4,8,2.469,7,24
30,5,4,9,2.703,8,24
30,5,4,13,3.192,10,24
30,5,5,1,0.76,2,25
30,5,5,2,2.367,7,25
30,6,3,1,3.436,10,28
30,6,4,1,0.995,3,29
30,6,4,2,1.839,6,29
30,6,4,3,1.839,6,29
30,6,5,1,0.512,2,30
30,6,5,2,0.512,2,30
30,6,5,3,0.603,2,30
30,7,4,2,1.337,4,34
30,7,4,1,1.629,5,34
30,7,5,1,1.607,5,35
30,8,2,1,1.286,4,37
30,8,3,1,1.096,3,38
30,8,4,1,0.796,3,39
30,9,3,1,4.461,13,43
30,9,3,2,7.595,22,43
30,10,3,2,2.14,7,48
30,10,3,1,2.984,9,48
30,10,4,2,0.633,2,49
30,10,4,3,1.266,4,49
30,10,4,1,1.628,5,49
30,10,5,1,1.326,4,50
41,1,2,1,1.778,5,52
41,1,5,3,0.633,2,55
41,1,5,4,0.754,2,55
41,1,5,6,0.844,3,55
41,1,5,2,1.567,5,55
41,1,5,5,1.597,5,55
41,1,5,1,5.214,15,55
41,3,2,3,1.863,6,62
41,3,2,1,2.761,8,62
41,3,2,2,2.586,8,62
41,3,4,3,1.088,3,64
41,3,4,2,1.87,6,64
41,3,4,1,2.973,9,64
41,3,5,10,0.577,2,65
41,3,5,7,1.001,3,65
41,3,5,24,0.942,3,65
41,3,5,16,1.702,5,65
41,3,5,47,1.622,5,65
41,3,5,1,1.965,6,65
41,3,5,44,1.87,6,65
41,3,5,45,2.104,6,65
41,3,5,4,2.257,7,65
41,3,5,11,2.44,7,65
41,3,5,50,2.213,7,65
41,3,5,18,2.549,8,65
41,3,5,28,2.644,8,65
41,3,5,55,2.601,8,65
41,3,5,57,2.644,8,65
41,3,5,2,2.9,9,65
41,3,5,8,3.01,9,65
41,3,5,33,2.98,9,65
41,3,5,39,2.9,9,65
41,3,5,56,2.864,9,65
41,3,5,14,3.214,10,65
41,3,5,26,3.499,10,65
41,3,5,29,3.455,10,65
41,3,5,40,3.433,10,65
41,3,5,5,3.733,11,65
41,3,5,6,3.689,11,65
41,3,5,17,3.806,11,65
41,3,5,23,3.674,11,65
41,3,5,52,3.769,11,65
41,3,5,20,3.974,12,65
